Task,Market Specialization,Application,Framework,Vitis-AI Model Name Zoo Name,License Restriction(s),Copyleft Model Zoo,Model Architecture,Model Research Publication,Dataset,Dataset URL,Input Dims(HWC),FP32 Floating-Point Accuracy,Quantized Accuracy,Ops (G),Percentage Pruned,MLPerf?,"VEK280
E2E throughput (fps) 
Single Thread
1* C20B14CU1 @ 300MHz
AIE-ML fclk=1.18GHz","VEK280
E2E throughput (fps) 
Multi Thread
1* C20B14CU1 @300MHz
AIE-ML fclk=1.18GHz","V70
E2E throughput (fps) 
Multi Thread
1* C20B14CU1 @250MHz Gen4x8
AIE-ML fclk=1.00GHz"
Semantic Segmentation,Medical Imaging,Medical Segmentation,PyTorch,pt_3D-UNET_3.5,,No,3D-UNET,https://arxiv.org/abs/1606.06650,KiTS19,https://kits19.grand-challenge.org/data/,128*128*128,0.8824,0.8774,1065.44,,,/,/,/
NLP,,Question and Answering,PyTorch,pt_bert-base_3.5,,No,BERT,https://arxiv.org/abs/1810.04805,SQuAD,https://rajpurkar.github.io/SQuAD-explorer/,384,0.8848,0.837,70.66,,,/,/,/
NLP,,Question and Answering,PyTorch,pt_bert-large_3.5,,No,BERT,https://arxiv.org/abs/1810.04805,SQuAD,https://rajpurkar.github.io/SQuAD-explorer/,384,0.9059,0.866,246.42,,,/,/,/
NLP,,Question and Answering,PyTorch,pt_bert-tiny_3.5,,No,BERT,https://arxiv.org/abs/1810.04805,SQuAD,https://rajpurkar.github.io/SQuAD-explorer/,384,0.5231,0.5125,0.45,,,/,/,/
Object Detection,Smart Cities,Face Mask Detection,PyTorch,pt_face-mask-detection_3.5,,No,Yolo-fastest,https://doi.org/10.2352/EI.2023.35.11.HPCI-229,Face-mask-detection,https://github.com/waittim/mask-detector/tree/master/modeling/data,512*512*3,0.886,0.881,0.59,,,512.65 ,1024.67 ,2173.85 
Depth Estimation,Industrial Vision / Robotics,Binocular depth estimation,PyTorch,pt_fadnet_0.65_3.5,,No,FADNet,https://arxiv.org/abs/2003.10758,Sceneflow,https://lmb.informatik.uni-freiburg.de/resources/datasets/SceneFlowDatasets.en.html,576*960*3,EPE: 0.823,EPE: 1.158,154,65.00%,,/,/,/
Depth Estimation,Industrial Vision / Robotics,Stereo Depth Estimation,PyTorch,pt_fadnet_3.5,,No,FADNet,https://arxiv.org/abs/2003.10758,Sceneflow,https://lmb.informatik.uni-freiburg.de/resources/datasets/SceneFlowDatasets.en.html,576*960*3,EPE: 0.926,EPE: 1.169,441,,,/,/,/
Depth Estimation,Industrial Vision / Robotics,Stereo Depth Estimation,PyTorch,pt_fadnetv2_0.51_3.5,,No,FADNet,https://arxiv.org/abs/2003.10758,Sceneflow,https://lmb.informatik.uni-freiburg.de/resources/datasets/SceneFlowDatasets.en.html,576*960*3,EPE: 0.878,EPE: 1.185,201,51.00%,,7.91 ,16.68 ,/
Depth Estimation,Industrial Vision / Robotics,Stereo Depth Estimation,PyTorch,pt_fadnetv2_3.5,,No,FADNet,https://arxiv.org/abs/2003.10758,Sceneflow,https://lmb.informatik.uni-freiburg.de/resources/datasets/SceneFlowDatasets.en.html,576*960*3,EPE: 0.877,EPE: 1.183,412,,,8.47 ,19.15 ,/
Semantic Segmentation,Automotive,ADAS 2D Segmentation,PyTorch,pt_HRNet_3.5,,No,HRNet,https://arxiv.org/abs/1908.07919,Cityscapes,https://www.cityscapes-dataset.com/,1024*2048*3,0.8104,0.8061,378,,,/,/,/
Image Classification,,General,PyTorch,pt_inceptionv3_0.3_3.5,Non-Commercial Use Only,No,Inception-v3,https://arxiv.org/abs/1512.00567,ILSVRC2012,https://www.image-net.org/download.php,299*299*3,0.775/0.936,0.772/0.935,8,30.00%,,835.80 ,1776.02 ,1289.55 
Image Classification,,General,PyTorch,pt_inceptionv3_0.4_3.5,Non-Commercial Use Only,No,Inception-v3,https://arxiv.org/abs/1512.00567,ILSVRC2012,https://www.image-net.org/download.php,299*299*3,0.768/0.931,0.764/0.929,6.8,40.00%,,855.50 ,1935.91 ,1366.46 
Image Classification,,General,PyTorch,pt_inceptionv3_0.5_3.5,Non-Commercial Use Only,No,Inception-v3,https://arxiv.org/abs/1512.00567,ILSVRC2012,https://www.image-net.org/download.php,299*299*3,0.757/0.921,0.752/0.918,5.7,50.00%,,909.83 ,2181.70 ,1482.21 
Image Classification,,General,PyTorch,pt_inceptionv3_0.6_3.5,Non-Commercial Use Only,No,Inception-v3,https://arxiv.org/abs/1512.00567,ILSVRC2012,https://www.image-net.org/download.php,299*299*3,0.739/0.911,0.732/0.908,4.5,60.00%,,966.01 ,2415.77 ,1684.68 
Image Classification,,General,PyTorch,pt_inceptionv3_3.5,Non-Commercial Use Only,No,Inception-v3,https://arxiv.org/abs/1512.00567,ILSVRC2012,https://www.image-net.org/download.php,299*299*3,0.775/0.936,0.771/0.935,11.4,,,794.99 ,1462.85 ,1143.74 
Pose Detection,Smart Cities,Pose Estimation,PyTorch,pt_movenet_3.5,,No,MoveNet,https://arxiv.org/abs/2105.04154,COCO,https://cocodataset.org/#download,192*192*3,0.7972,0.7984,0.5,,,239.12 ,428.21 ,8326.82 
Image Classification,,General,PyTorch,pt_OFA-depthwise-res50_3.5,Non-Commercial Use Only,No,ResNet50,https://arxiv.org/abs/1512.03385,ILSVRC2012,https://www.image-net.org/download.php,176*176*3,0.7633/0.9292,0.7629/0.9306,2.49,,,336.85 ,527.26 ,12925.70 
Super Resolution,Medical Imaging,Super Resolution,PyTorch,pt_OFA-rcan_3.5,,No,OFA-RCAN,,DIV2K,https://data.vision.ee.ethz.ch/cvl/DIV2K/,360*640*3,"(Set5) PSNR/SSIM= 37.654/0.959
(Set14) PSNR/SSIM= 33.169/ 0.914
(B100) PSNR/SSIM= 31.891/ 0.897
(Urban100) PSNR/SSIM = 30.978/0.917","(Set5) PSNR/SSIM= 37.384/0.956
(Set14) PSNR/SSIM= 33.012/ 0.911
(B100) PSNR/SSIM= 31.785/ 0.894
(Urban100) PSNR/SSIM = 30.839/0.913",45.7,,,62.83 ,100.65 ,53.00 
Image Classification,,General,PyTorch,pt_OFA-resnet50_0.88_3.5,Non-Commercial Use Only,No,ResNet50,https://arxiv.org/abs/1512.03385,ILSVRC2012,https://www.image-net.org/download.php,160*160*3,0.752/0.918,0.744/0.918,1.8,88.00%,,2549.20 ,6595.03 ,7780.10 
Image Classification,,General,PyTorch,pt_OFA-resnet50_0.74_3.5,Non-Commercial Use Only,No,ResNet50,https://arxiv.org/abs/1512.03385,ILSVRC2012,https://www.image-net.org/download.php,192*192*3,0.777/0.937,0.770/0.933,3.6,74.00%,,2014.20 ,5274.48 ,3609.05 
Image Classification,,General,PyTorch,pt_OFA-resnet50_0.45_3.5,Non-Commercial Use Only,No,ResNet50,https://arxiv.org/abs/1512.03385,ILSVRC2012,https://www.image-net.org/download.php,224*224*3,0.795/0.945,0.784/0.941,8.2,45.00%,,1515.01 ,3636.90 ,5265.23 
Image Classification,,General,PyTorch,pt_OFA-resnet50_0.60_3.5,Non-Commercial Use Only,No,ResNet50,https://arxiv.org/abs/1512.03385,ILSVRC2012,https://www.image-net.org/download.php,224*224*3,0.791/0.943,0.780/0.939,6,60.00%,,1562.12 ,4064.77 ,3165.36 
Image Classification,,General,PyTorch,pt_OFA-resnet50_3.5,Non-Commercial Use Only,No,ResNet50,https://arxiv.org/abs/1512.03385,ILSVRC2012,https://www.image-net.org/download.php,224*224*3,0.799/0.948,0.789/0.944,15,,,/,/,/
Object Detection,,General,PyTorch,pt_OFA-yolo_0.3_3.5,,No,OFA-YOLO,,COCO,https://cocodataset.org/#download,640*640*3,0.42,0.401,34.72,30.00%,,173.53 ,383.53 ,323.62 
Object Detection,,General,PyTorch,pt_OFA-yolo_0.5_3.5,,No,OFA-YOLO,,COCO,https://cocodataset.org/#download,640*640*3,0.392,0.378,24.62,60.00%,,193.87 ,406.21 ,456.91 
Object Detection,,General,PyTorch,pt_OFA-yolo_3.5,,No,OFA-YOLO,,COCO,https://cocodataset.org/#download,640*640*3,0.436,0.421,48.88,,,165.66 ,370.41 ,295.25 
Semantic Segmentation,Automotive,ADAS 3D Detection,PyTorch,pt_pointpillars_3.5,,No,PointPillars,https://arxiv.org/abs/1812.05784,KITTI,http://www.cvlibs.net/datasets/kitti/,12000*100*4,"Car 3D AP@0.5(easy, moderate, hard)","Car 3D AP@0.5(easy, moderate, hard)",11.2,,,55.96 ,70.06 ,187.11 
Industrial Vision / Robotics,Industrial Vision / Robotics,Stereo Depth Estimation,PyTorch,pt_psmnet_0.68_3.5,,No,PSMNet,https://arxiv.org/abs/1803.08669,Sceneflow,https://lmb.informatik.uni-freiburg.de/resources/datasets/SceneFlowDatasets.en.html,576*960*3,EPE: 0.961,EPE: 1.022,696,68.00%,,/,/,/
Image Classification,,General,PyTorch,pt_resnet50_0.3_3.5,Non-Commercial Use Only,No,ResNet50,https://arxiv.org/abs/1512.03385,ILSVRC2012,https://www.image-net.org/download.php,224*224*3,0.760/0.929,0.757/0.928,5.8,30.00%,,1628.45 ,4247.61 ,4132.65 
Image Classification,,General,PyTorch,pt_resnet50_0.4_3.5,Non-Commercial Use Only,No,ResNet50,https://arxiv.org/abs/1512.03385,ILSVRC2012,https://www.image-net.org/download.php,224*224*3,0.755/0.926,0.752/0.925,4.9,40.00%,,1666.52 ,4268.98 ,4401.23 
Image Classification,,General,PyTorch,pt_resnet50_0.5_3.5,Non-Commercial Use Only,No,ResNet50,https://arxiv.org/abs/1512.03385,ILSVRC2012,https://www.image-net.org/download.php,224*224*3,0.748/0.921,0.745/0.920,4.1,50.00%,,1701.21 ,4265.80 ,4671.20 
