,Task,Application,Framework,Name,FP32 Floating-Point Accuracy,Quantized Accuracy,Input Dims(HWC),Model Architecture,Source Paper,Dataset,Dataset URL,Multi-Task,Percentage Pruned,Ops (G),MLPerf?,,,,
,Classification,General,TensorFlow,tf_inceptionresnetv2_imagenet_299_299_26.35G_2.5,0.8037,0.7946,299*299*3,Inception-ResNet-v2,https://arxiv.org/abs/1602.07261,ILSVRC2012,https://www.image-net.org/download.php,,,26.35,,,,,
,Classification,General,TensorFlow,tf_inceptionv1_imagenet_224_224_3G_2.5,0.6976,0.6794,224*224*3,GoogleNetv1,https://arxiv.org/abs/1801.04381,ILSVRC2012,https://www.image-net.org/download.php,,,3,,,,,
,Classification,General,TensorFlow,tf_inceptionv2_imagenet_224_224_3.88G_2.5,0.7399,7331,224*224*3,Inception-v2,https://arxiv.org/abs/1512.00567,ILSVRC2012,https://www.image-net.org/download.php,,,3.88,,,,,
,Classification,General,TensorFlow,tf_inceptionv3_imagenet_299_299_11.45G_2.5?,0.7798,0.7735,299*299*3,Inception-v3,https://arxiv.org/abs/1512.00567,ILSVRC2012,https://www.image-net.org/download.php,,,11.45,,,,,
,Classification,General,TensorFlow,tf_inceptionv3_imagenet_299_299_0.2_9.1G_2.5?,0.7786,0.7668,299*299*3,Inception-v3,https://arxiv.org/abs/1512.00567,ILSVRC2012,https://www.image-net.org/download.php,,20.00%,9.1,,,,,
,Classification,General,TensorFlow,tf_inceptionv3_imagenet_299_299_0.4_6.9G_2.5?,0.7669,0.7561,299*299*3,Inception-v3,https://arxiv.org/abs/1512.00567,ILSVRC2012,https://www.image-net.org/download.php,,40.00%,6.9,,,,,
,Classification,General,TensorFlow,tf_inceptionv4_imagenet_299_299_24.55G_2.5,0.8018,0.7928,299*299*3,Inception-v4,https://arxiv.org/abs/1602.07261,ILSVRC2012,https://www.image-net.org/download.php,,,24.55,,,,,
,Classification,General,TensorFlow,tf_mobilenetv1_0.25_imagenet_128_128_27M_2.5,0.4144,0.3464,128*128*3,MobileNetV1,https://arxiv.org/abs/1704.04861,ILSVRC2012,https://www.image-net.org/download.php,,,0.027,,,,,
,Classification,General,TensorFlow,tf_mobilenetv1_0.5_imagenet_160_160_150M_2.5,0.5903,0.5195,160*160*3,MobileNetV1,https://arxiv.org/abs/1704.04861,ILSVRC2012,https://www.image-net.org/download.php,,,0.15,,,,,
,Classification,General,TensorFlow,tf_mobilenetv1_1.0_imagenet_224_224_1.14G_2.5?,0.7102,0.678,224*224*3,MobileNetV1,https://arxiv.org/abs/1704.04861,ILSVRC2012,https://www.image-net.org/download.php,,,1.14,,,,,
,Classification,General,TensorFlow,tf_mobilenetv1_1.0_imagenet_224_224_0.11_1.02G_2.5?,0.7056,0.6822,224*224*3,MobileNetV1,https://arxiv.org/abs/1704.04861,ILSVRC2012,https://www.image-net.org/download.php,,11.00%,0.11,,,,,
,Classification,General,TensorFlow,tf_mobilenetv1_1.0_imagenet_224_224_0.12_1G_2.5?,0.706,0.685,224*224*3,MobileNetV1,https://arxiv.org/abs/1704.04861,ILSVRC2012,https://www.image-net.org/download.php,,12.00%,0.12,,,,,
,Classification,General,TensorFlow,tf_mobilenetv2_1.0_imagenet_224_224_602M_2.5,0.7013,0.6767,224*224*3,MobileNetV2,https://arxiv.org/abs/1801.04381,ILSVRC2012,https://www.image-net.org/download.php,,,62,,,,,
,Classification,General,TensorFlow,tf_mobilenetv2_1.4_imagenet_224_224_1.16G_2.5,0.7411,0.7194,224*224*3,MobileNetV2,https://arxiv.org/abs/1801.04381,ILSVRC2012,https://www.image-net.org/download.php,,,1.16,,,,,
,Classification,General,TensorFlow,tf_resnetv1_50_imagenet_224_224_6.97G_2.5?,0.752,0.7436,224*224*3,ResNet50,https://arxiv.org/abs/1512.03385,ILSVRC2012,https://www.image-net.org/download.php,,,6.97,,,,,
,Classification,General,TensorFlow,tf_resnetv1_50_imagenet_224_224_0.38_4.3G_2.5?,0.7442,0.7375,224*224*3,ResNet50,https://arxiv.org/abs/1512.03385,ILSVRC2012,https://www.image-net.org/download.php,,38.00%,0.38,,,,,
