FFT Size:Rows,FFT Size:Cols,SSR,No. of 1D Kernels,No. Of Batches,Execution Time(mS),Performance in GFLOPs
16,16,8,2,1,0.46,0.02
16,16,8,2,10,0.38,0.28
16,16,8,2,100,0.47,2.32
16,16,8,2,1000,1.42,7.29
32,32,8,2,1,0.46,0.11
32,32,8,2,10,0.48,1.07
32,32,8,2,100,0.75,6.87
32,32,8,2,1000,3.96,13.27
64,64,8,2,1,0.50,0.50
64,64,8,2,10,0.45,5.66
64,64,8,2,100,1.50,16.78
64,64,8,2,1000,10.07,25.97
256,256,8,2,1,4.32,1.21
256,256,8,2,10,4.62,11.34
256,256,8,2,100,22.62,23.19
256,256,8,2,1000,286.48,18.31
